subjects,price,rating,reviewCount,shortDescription,canWorkOnline,isVerified,location,education,experience,source
Английский язык,7000,5.0,10,"Уровень Advanced по результатам IELTS. Большой опыт   подготовки к IELTS, TOEFL, SAT, NIS, Duolingo, ЕНТ, General и Business English и c отличными результатами. Стажировалась в США и Нидерландах. ",True,True,Алматы,"ОГПИ им. Горького, Россия",более 20 лет,Buki
Математика; Программирование,6000,5.0,7,"Готов быстро и качественно обучить ваших детей математике. Обучаю детей по методике А.С.Макаренко. С самого начала работы я провожу анализ знаний ученика, а после составляю план занятий (тем), которые будем проходить в течении занятий. Домашней работы задаю много и требую ее самостоятельного выполнения. ",True,True,Астана (Нур-Султан),Назарбаев Университет,более 2 лет,Buki
Химия,5000,5.0,10,получил магистерскую степень на Химическом факультете Карагандинского университета имени академика Букетова. ,True,False,Караганда,Карагандинский государственный университет имени академика Е.А. Букетова,более 3 лет,Buki
Математика,4000,5.0,10,"Помогаю ребятам в понимании такой чудесной науки, как математика. ",True,False,Павлодар,University of Jan Evangelista v Ústí nad Labem ,более 3 лет,Buki
Химия; Казахский язык,3000,5.0,11,"Ваш индивидуальный репетитор, который может найти подход к каждому ученику. Оказываю помощь в рамках школьной программы, а также изучение языков с нуля до определенного уровня. ",True,False,Алматы,Университет имени Сулеймана Демиреля,более 2 лет,Buki
Химия,3500,5.0,18,"Репетитор по химии, подготовка к ВОУД, ЕНТ, помощь с контрольными и курсовыми работами. ",True,False,Костанай,Костанайский государственный университет имени Ахмета Байтурсынова,более 20 лет,Buki
Математика; Физика; Информатика,4000,5.0,7,"Физик, информатик, математик, творческая личность, увлекаюсь литературой, боксер, люблю познавать новое. ",False,False,Алматы,Казахский национальный университет им.Аль-Фараби,более 5 лет,Buki
Математика,2000,5.0,8,Стаж работы учителем математики 40 лет. Репетиторством занимаюсь 15 лет. Учитель высшей категории. ,True,False,Усть-Каменогорск,Семипалатинский государственный педагогический институт,более 20 лет,Buki
Физика; Информатика,6000,5.0,14,"Выпускник школы с физико-математическим уклоном. Призёр республиканской олимпиады. Участник областной олимпиады 2016,2017 годов. 
Подготовил по информатике к ЕНТ более 2500+ учеников ",True,False,Алматы,Международный университет информационных технологий,более 5 лет,Buki
Английский язык,5000,5.0,9,Я преподаватель английского языка (General English/Общий английский/Разговорный язык). Провожу онлайн/оффлайн занятия с детьми (10+) и взрослыми.  ,True,False,Уральск,European University,более 5 лет,Buki
Английский язык; Французский язык,5000,4.7,8,"Преподаватель французского языка, 2 года работы в высшем учебном заведении. Магистр педагогических наук по специальности ""Иностранный язык"". Опыт работы репетитором более 3-х лет (английский и французский). Проходила стажировку во Франции, г. Виши. ",True,False,Атырау,Атырауский государственный университет имени Х.Досмухамедова,более 3 лет,Buki
Математика; Химия; Биология; Английский язык; Физиология; Биохимия,3500,4.8,14,"Меня зовут Венера.Являюсь студенткой медициyского университета (4 курс) с обучением на английском языке.Работаю репетитором в течение 3-х лет. Введу уроки английского в качестве разговорного, для подготовки к вступительным экзаменам и IELTS.Параллельно с этим введу уроки биологии на русском и английском языках ",True,False,Алматы,Central Asian University,более 3 лет,Buki
Физика,2000,4.9,15,Занятия провожу на русском и казахском языках. ,False,False,Караганда,Казахский национальный педагогический университет имени Абая,более 20 лет,Buki
Биология,3000,4.9,8,"Непрерывный педагогический стаж составляет 30 лет, имею квалификационную категорию – учитель исследователь. ",True,False,Алматы,Казахский национальный университет им.Аль-Фараби,более 20 лет,Buki
Испанский язык,5000,4.9,8,"Влюблена в испанский язык с детства. Со школьного возраста начала изучать и по сегодняшний день всегда ищу новые материалы, прохожу новые курсы, общаюсь с испаноязычными людьми. Так же являюсь методистом и развиваюсь в данной сфере. ",True,False,Алматы,"Казахстанский многопрофильный институт ""Парасат"", факультет иностранных языков",более 10 лет,Buki
Английский язык,4000,5.0,16,"Работала с сотрудниками Американского посольства. Была переводчиком в отделе научно-технических переводов в Национальном  научном центре. Огромный опыт преподавания в школах, ВУЗах, на фирмах.                              ",True,False,Алматы,Казахский университет международных отношений и мировых языков имени Абылай хана,более 20 лет,Buki
История Казахстана; История мира,4000,5.0,3,"Репетиторская деятельность по истории Казахстана и Всемирной истории c опытом работы свыше 15 лет. Успешно готовлю к выпускным экзаменам,ЕНТ/КТА.
Стараюсь помогать поднимать, а не учить историю. ",True,True,Астана (Нур-Султан),Карагандинский государственный университет имени академика Е.А. Букетова,более 20 лет,Buki
Математика,6000,5.0,9,"Репетитор по математике, работающий на результат. ",True,False,Астана (Нур-Султан),Южно-Казахстанский государственный университет имени М. О. Ауэзова,более 10 лет,Buki
Математика; Высшая математика; Математический анализ; Дифференциальные уравнения,4000,5.0,3,"Подготовка по математике. Меня зовут Аяжан. Я окончила магистратуру по специальности ""Математика"". Бакалавр по специальности ""Математическое и компьютерное моделирование"". Преподаю на казахском языке. Обладательница Президентской стипендии.  ",True,False,Усть-Каменогорск,Восточно-Казахстанский государственный технический университет им.Д.Серикбаева,более 3 лет,Buki
Физика,7000,4.9,13,Репетитор по физике. Студент 4 курса Назарбаев Университета. Выпускник НИШ г. Костанай 2019 года. ,True,False,Астана (Нур-Султан),Назарбаев Университет,более 3 лет,Buki
Английский язык,4000,5.0,11,"Занимаюсь репетиторской работой более 20 лет. Имею большой опыт работы с детьми дошкольного и школьного возраста, а также во взрослыми. ",True,False,Павлодар,Кокшетауский государственный университет имени Ш.Уалиханова,более 20 лет,Buki
Химия; Биология; Английский язык,4000,5.0,9,"Преподаю на русском языке. Делаю упор на пробелы в знаниях, объясняя на легком и доступном языке, а главное без зубрежек! ",True,False,Алматы,Университет имени Сулеймана Демиреля,более 1 года,Buki
Корейский язык,3500,4.9,11,"Репетитор по корейскому языку для начинающих, (для подростков с 10 лет) ",True,False,Костанай,Костанайский инженерно-экономический университет им. М. Дулатова,более 3 лет,Buki
Игра на гитаре,6000,5.0,5,"Приглашаю детей и взрослых на онлайн-обучение игре на гитаре. Я являюсь профессиональным музыкантом, имею Высшее образование- Челябинский Государственный Институт Культуры и Искусств.Педагогический стаж- с 2012 года.  ",True,False,Астана (Нур-Султан),Челябинский Государственный Институт Культуры и Искусств,более 10 лет,Buki
Английский язык,4000,5.0,6,"Являюсь выпускницей Назарбаев Университета, на данный момент получаю степень магистра в КБТУ. ",True,True,Алматы,Назарбаев Университет,более 5 лет,Buki
Английский язык,4000,5.0,6,"Добрый день! Спасибо, что уделили внимание моему профилю:) Мне нравится процесс преподавания, и я горжусь успехами своих студентов. У меня есть педагогическое образование и я уже более 6 лет помогаю взрослым и детям учить английский язык.  ",True,True,Алматы,Казахстанско-Американский свободный университет,более 5 лет,Buki
Корейский язык,7000,5.0,7,"Здравствуйте! Меня зовут Жанна, я магистрант Сеульского национального университета.TOPIK-6. Призёр Центрально-Азиатской и др. олимпиад. Опыт- 4 года. ",True,True,Астана (Нур-Султан),Сеульский Национальный университет,более 2 лет,Buki
Русский язык; Подготовка к школе,4500,5.0,10,"Даю частные уроки русского языка и литературы для детей. Осуществляю подготовку детей к школе, обучаю чтению по слогам, письму, математическому счёту. ",True,False,Астана (Нур-Султан),Кокшетауский государственный университет имени Ш.Уалиханова,более 20 лет,Buki
Английский язык; Итальянский язык,6000,5.0,9,"I'm a specialist in Logistics and also a qualified teacher of English as a second language, C1 level. ",True,False,Алматы,"Rome University ""La Sapienza""",более 10 лет,Buki
Игра на фортепиано; Сольфеджио,4500,5.0,11,"Привет! Я преподаю фортепиано и сольфеджио, превращая уроки в увлекательное приключение для детей! 🎹🎶 Моя методика основана на игре и ясных объяснениях, чтобы показать, что музыка – это просто! Использую виртуальную доску, музыкальные игры и веб-сайты, чтобы сделать уроки интерактивными и увлекательными.  ",True,False,Темиртау,Карагандинский колледж искусств имени Татимбетта,более 5 лет,Buki
Химия; Русский язык,3000,5.0,7,"Репетитор по химии, готовлю к ЕНТ, КТА, а также по школьной программе. ",True,False,Алматы,Казахский национальный исследовательский технический университет им. К.И. Сатпаева,более 5 лет,Buki
Английский язык; Русский язык; Португальский язык,4000,5.0,4,Репетитор иностранных языков и русского языка с большим стажем преподавания.  ,True,False,Алматы,Казахский национальный университет им.Аль-Фараби,более 10 лет,Buki
Математика,3500,4.8,12,"За период работы удалось помочь разными учениками, от третьего класса и до выпускников. Задача заключалась не только в подготовке к школьным экзаменам, но и в содействии в поступлении в высшие учебные заведения. ",True,False,Астана (Нур-Султан),Назарбаев Университет,более 3 лет,Buki
Английский язык,4000,4.9,9,"Я-выпускница Назарбаев Интеллектуальной Школы (НИШ) г. Караганда и Гонконгского Политехнического Университета. Изучаю английский язык с 6 лет и путешествуя, практикую его с носителями. Есть сертификат IELTS. ",True,False,Астана (Нур-Султан),The Hong Kong Polytechnic University,более 3 лет,Buki
Физика,3500,4.9,15,"Перед началом занятий провожу интервью с потенциальным учеником. Далее подбираю ИНДИВИДУАЛЬНУЮ программу , с помощью которой вы сможете увидеть конкретные результаты уже через 1 месяц занятий. ",True,False,Алматы,Университет имени Сулеймана Демиреля,более 3 лет,Buki
Математика; Химия; Биология; Русский язык; Начальная школа; Казахский язык,3500,4.9,9,"Выпускница Казахского Национального университета имени аль-Фараби.
Факультет: биологии и биотехнологии
Специальность: научная биология ",True,False,Алматы,Казахский национальный университет им.Аль-Фараби,более 3 лет,Buki
Математика,4000,5.0,12,Репетитор по математике 5-11 классы ,False,False,Павлодар,Павлодарский государственный педагогический институт,более 10 лет,Buki
Математика; География,4000,4.8,12,"Являюсь студентом Astana IT University. Мой образовательный акцент лежит на практическом опыте, и я стремлюсь применять знания на практике. ",True,False,Астана (Нур-Султан),Astana IT University,более 1 года,Buki
Английский язык,4000,5.0,9,"Репетитор по английскому языку для детей, подготовка к школе, для младших классов, для средней школы. ",True,False,Караганда,Центрально-Казахстанская Академия,более 3 лет,Buki
Английский язык,6000,4.8,13,"Английский это привычка и я помогаю её сформировать.
На моих занятиях всегда интересно а главное информативно. К каждому студенту у меня особый, индивидуальный подход исходя из его  требований и желаний.
Самой главной моей задачей является научить студента говорить на английском уверенно и без ошибок. Работаю со всеми уровнями. ",True,False,Астана (Нур-Султан),Казахский государственный женский педагогический университет,более 3 лет,Buki
Математика,3000,5.0,6,У меня есть профессиональные знания по математике. Углубляю знания учеников и развиваю их логическое мышление. Я призёр олимпиады. Все мои ученики достигли результата. ,True,True,Алматы,Казахский национальный педагогический университет имени Абая,более 3 лет,Buki
История Казахстана; История мира; Обществознание; Ораторское искусство,8000,5.0,7,"Успешный репетитор,  тренер, учитель  по историческим дисциплинам. Со мной Вы полюбите историю!  ",True,False,Алматы,Казахский национальный университет им.Аль-Фараби,более 10 лет,Buki
Русский язык,4000,5.0,8,Стаж работы в школе - 19 лет. Стаж работы репетитором более 10 лет. ,True,False,Актобе,Актюбинский региональный государственный университет им.К.Жубанова,более 20 лет,Buki
Математика; Начальная школа,3500,5.0,10,"Объясняю темы дрступным языком. Подготовка и разбор СОР, СОЧ. Помощь с домашними заданиями. Урок можно провести как офлайн, так и онлайн. ",True,False,Шымкент,Южно-Казахстанский государственный педагогический институт,более 10 лет,Buki
Немецкий язык,8000,5.0,6,"Опыт работы - преподавание немецкого языка в качестве преподавателя кафедры немецкого языка государственного ВУЗа (КарГУ им. Е.А. Букетова), преподавателя посольских курсов и курсов института им. Гёте, подготовка к сдаче международных экзаменов уровней А1 — С2. 
 ",True,False,Караганда,"КарГУ им. ЕА Букетова,  институт""Лингва""",более 20 лет,Buki
Русский язык,3500,4.9,9,"Репетитор по русскому языку и литературе, подготовка к ЕНТ, КТА, школьная программа 5-11 классы, опыт работы более 20 лет. ",True,False,Астана (Нур-Султан),Талды-Курганский педагогический институт им. И.Джансугурова,более 20 лет,Buki
Игра на гитаре,6000,5.0,4,"Приглашаю детей и взрослых на онлайн-обучение игре на гитаре (Zoom).На занятиях мы изучаем нотную грамоту, классические и современные произведения, аккорды и песни, а также fingerstyle.
Образование- Высшее (Челябинский Государственный Институт Культуры и Искусств, класс В.В. Козлова). ",True,False,Петропавловск,Челябинский государственный институт культуры,более 10 лет,Buki
Математика,7500,5.0,8,"Многократный победитель областных,международных олимпиад по математике.Опыт в сфере репетиторства 7 лет.Подготовил более 80 учеников к различным экзаменам, тестированиям,такие как:SAT,GMAT,NUET,ЕНТ,КТА. Помогу в подготовке к поступлению в БИЛ,НИШ,РФМШ ",True,False,Алматы,МГТУ им.Баумана,более 5 лет,Buki
Химия; Английский язык,5000,5.0,6,"Закончила НИШ Астана, поступила на грант в Венгрию. На данный момент учусь на магистратуре в Турции. IELTS: 7.5 ",True,False,Астана (Нур-Султан),University of Pécs ,более 5 лет,Buki
Русский язык,5000,5.0,7,"Для повышения качества знаний ученика мною составлены тесты по всем темам русского языка. Работаю с учеником до полного усвоения материала. Каждый ребенок имеет памятку с правилами, если это ученик 5 - 6 класса, то памятки пишу сама. Занимаюсь только с учениками.  ",True,False,Алматы,Гурьевский Педагогический Институт,более 20 лет,Buki
Химия; Биология,4000,5.0,16,"Опытный репетитор по химии и биологии с русским языком обучения. Высокий уровень коммуникации,  ответственность, владение методиками преподавания. ",True,False,Семей,Семипалатинский педагогический институт им. Н.К. Крупской,более 20 лет,Buki
Математика; Казахский язык,4000,4.9,9,"Помогу поднять уровень знаний,окажу помощь в выполнение домашних заданий,объясняю все темы доступно,на примерах. ",True,False,Астана (Нур-Султан),Казахский агротехнический университет им. С.Сейфуллина,более 5 лет,Buki
Математика; Подготовка к школе,4000,5.0,9,Репетитор по математике/алгебре/геометрии на казахском и русском языках  ,True,False,Павлодар,Павлодарский государственный педагогический институт,более 10 лет,Buki
Математика; Химия,7000,5.0,4,"Коммуникабелная,строгая,пунктуальная,требовательная ",True,True,Алматы,Казахский национальный университет им.Аль-Фараби,более 20 лет,Buki
Химия,2500,5.0,7,"Подготовка к ЕНТ/КТА, ЕГЭ. Работаю с обучающимися колледжа и школ, НИШ, БИЛ. Восполнение пробелов. ",True,True,Павлодар,Инновационный Евразийский университет,более 10 лет,Buki
Математика; Химия,3000,5.0,10,"Преподаю математику,  химию. Занятия провожу на казахском языке ",True,False,Усть-Каменогорск,Восточно-Казахстанский государственный университет им. С.Аманжолова,более 3 лет,Buki
Казахский язык,2000,4.9,9,Я учитель казахского языка и литературы. Работаю более 20 лет в сфере образования. ,True,False,Уральск,Западно-Казахстанский государственный университет им.М.Утемисова,более 20 лет,Buki
Казахский язык,7500,5.0,6," Меня зовут Акжан Рустембековна. 
Я преподаватель начальных классов, подготовка к школе и казахского языка. Провожу уроки на результат. Обучение проходят онлайн и оффлайн. 
Уроки ведутся для учеников от 4 лет.
 ",True,True,Астана (Нур-Султан),Евразийский национальный университет им. Л.Н. Гумилева,более 10 лет,Buki
Физика,4000,5.0,9,"Школа, Бакалавр, Магистр - с отличием. категория. Педагог-мастер, автор 4-х книг. ",True,False,Астана (Нур-Султан),Евразийский национальный университет им. Л.Н. Гумилева,более 10 лет,Buki
Биология,4000,5.0,8,Живу в городе Семей. Работаю в университете преподавателем по спец.биология. Замужем. ,True,False,Семей,Государственный университет имени Шакарима г.Семей,более 5 лет,Buki
Китайский язык,4500,4.6,4,"大家好！
Здравствуйте! Приглашаю всех желающих изучить китайский язык к себе на урок! 
 ",True,False,Павлодар,Павлодарский государственный педагогический институт,более 1 года,Buki
Биология,2500,5.0,4,Люблю преподавать и изучать новое ,True,False,Уральск,Западно-Казахстанский аграрно-технический университет им.Жангир хана,более 5 лет,Buki
Украинский язык; Английский язык; Польский язык; Испанский язык,8000,4.8,9,"Собственная методика.Провожу занятия до 24.00. Разрабатываю индивидуальную программу для каждого студента. Поэтому, и мои студенты рады, и получают хорошие результаты. ",True,False,Астана (Нур-Султан),Славянский межгосударственный институт управления бизнесом и права,более 10 лет,Buki
Химия; Английский язык,6000,5.0,8,"IELTS: 7.5
Результаты МЭСК на A и А* ",True,False,Астана (Нур-Султан),Назарбаев Университет,более 5 лет,Buki
Математика; Химия,4000,4.9,7,"Репетитор по математике и химии, готовлю к ЕНТ, экзаменам ",True,False,Алматы,Казахский национальный университет им.Аль-Фараби,более 5 лет,Buki
Английский язык; Корейский язык,4000,5.0,7,"Опыт в репетиторстве 4 года. Имею сертификаты о прохождении курсов квалификации преподавания английского языка, TOPIK 4 급.  ",True,False,Алматы,Казахский университет международных отношений и мировых языков им.Абылай хана,более 3 лет,Buki
Математика,5000,4.9,8,Опыт работы 9 лет. Готовлю к НИШ и БИЛ. ,True,False,Актобе,Казахский национальный университет им.Аль-Фараби,более 10 лет,Buki
Турецкий язык; Русский язык; Арабский язык,6000,5.0,9,"Изучение арабского языка - это инвестиция в будущее (земное и вечное), которая может принести множество преимуществ и возможностей. Соблюдая советы и подходя к обучению с настойчивостью и страстью 😁, вы сможете достичь успеха в изучении арабского языка и раскрыть перед собой удивительный мир арабской культуры и коммуникации. ",True,True,Алматы,Центрально-Азиатский университет,более 3 лет,Buki
Английский язык,4500,5.0,14,"Педагог с пятнадцатилетним стажем работы.Обучаю английскому языку по Оксфордским учебникам. Работаю с детьми и со взрослыми, индивидуально и в группах ",True,False,Алматы,Казахский университет международных отношений и мировых языков им.Абылай хана,более 10 лет,Buki
Русский язык; Литература; Подготовка к школе; Начальная школа; Развитие памяти,7000,5.0,9,"Добрая, терпеливая, в меру строгая. Считаю главным в своей профессии - дать ребенку знания и привить любовь к русскому языку и литературе. Образованный человек - это, как правило, человек грамотный и начитанный. Работаю с детьми и взрослыми, гражданами других стран, помогаю им освоить русский язык. Английский уровень elementary.  ",True,False,Астана (Нур-Султан),Евразийский национальный университет им. Л.Н. Гумилева,более 10 лет,Buki
История Казахстана; История мира,3000,5.0,4,"Моя главная цель — не просто передать знания, а научить думать критически, анализировать информацию и применять ее в реальных ситуациях. Я стремлюсь сделать процесс обучения увлекательным и эффективным, подстраиваясь под индивидуальные потребности каждого ученика. ",True,False,Кокшетау,Кокшетауский государственный университет имени Ш.Уалиханова,более 5 лет,Buki
Английский язык,5000,5.0,2,"Привет! Готов погрузиться в захватывающий мир английского языка? Я помогу развить разговорный язык до совершенства. Современные индивидуальные занятия и в группах с ребятами во всего мира, международный Speaking Club VANAVI и BOOK CLUB ждут вас. Стань мастером общения на английском! Записывайся на первые 20 минут бесплатно уже сейчас! ",True,True,Алматы,"Томский Политехнический Университет, Royal Holloway University of London, Wuhan University",более 10 лет,Buki
Русский язык,5000,5.0,6,"ответственный преподаватель, работа которого направлена на достижение результатов, индивидуальный подход к каждому ученику для развития его способностей ",True,True,Алматы,Калиниградский Государственный Университет,более 5 лет,Buki
Английский язык,2500,5.0,13,Преподавала английский язык ,False,False,Усть-Каменогорск,Актюбинский региональный государственный университет им.К.Жубанова,более 20 лет,Buki
Английский язык,5000,5.0,5,"I am a TEFL certified teacher, with more than fifteen years experience in the teaching profession. I also have level 6 TESOL and I'm about to finish my masters degree. ",True,False,Алматы,ETON university  UK,более 10 лет,Buki
Немецкий язык,6000,5.0,7,"Здравствуйте! Меня зовут Диана и я студентка Венского университета, где изучаю лингвистику. Преподаю немецкий онлайн. На своих уроках я делаю акцент на живом языке, который вы будете слышать от носителей: помогаю освоить грамматику, улучшить произношение и научиться говорить естественно, а не только «по учебнику». ",True,False,Алматы,Венский университет ,менее 1 года,Buki
Английский язык; Немецкий язык,5000,4.7,3,"Помогаю детям и взрослым освоить языки: английский и немецкий, индивидуальный подход. Помощь в домашних занятиях.  ",True,False,Астана (Нур-Султан),Евразийский национальный университет им. Л.Н. Гумилева,более 10 лет,Buki
Корейский язык,5000,5.0,2,"Привет! Меня зовут Дмитрий. В 2017 году уехал в Южную Корею на языковые курсы. Окончил всего 5 уровней но смог получить самостоятельно 6 уровень! Чудес не бывает, и нет чудо таблетки которая поможет за месяц, два выучить язык. Однако если упорно учиться и следовать правилам, то и ты сможешь получить нужный результат!  ",True,True,Караганда,Kimpo University,более 5 лет,Buki
Казахский язык,5000,5.0,6,Люблю работать  с детьми; Требовательная; Ответственная;  Креативная;  Позитивная; Профессиональный педагог; Со стажем 5 лет. ,True,False,Алматы,Казахский национальный университет им.Аль-Фараби,более 5 лет,Buki
История Казахстана,4000,5.0,4,"Профессиональный репетитор по истории. Более 13 лет успешно готовлю 10–11 классы к ҰБТ. Провожу дистанционные занятия через WhatsApp — легко, удобно и эффективно. Умею находить подход к каждому ученику, адаптирую материал под уровень и цель. Люблю историю и умею «заразить» этим учеников. ",True,False,Алматы,Казахский национальный университет им.Аль-Фараби,более 10 лет,Buki
Математика; Английский язык; История Казахстана; Логика; Казахский язык,6000,5.0,5,"Я преподаю казахский и английский языки, историю и математику более 5 лет. Моя образовательная и педагогическая деятельность включает в себя разработку уроков, проведение занятий, оценку учебных достижений студентов и адаптацию учебных программ под разные уровни навыков.  ",True,False,Астана (Нур-Султан),M. Nariknayev KAZGUU University,более 5 лет,Buki
Турецкий язык; Русский язык,5000,5.0,5,Репетитор турецкого языка и русского для турков. Преподаю детям и взрослым предпочтительно с начального уровня. Гибкое расписание занятий. ,True,False,Караганда,"Ege Üniversitesi, Турция",более 5 лет,Buki
Английский язык,3000,5.0,8," Репетитор студент 3 курса Евразийского университета, обучение провожу с нуля( уровня beginner до upper intermediate) ",True,False,Астана (Нур-Султан),Евразийский национальный университет им. Л.Н. Гумилева,более 1 года,Buki
Английский язык; Русский язык; Казахский язык,3000,4.9,8,"Имею опыт работы в частной и общеобразовательной школе, опыт работы в колледже и в репетиторских центрах. Опыт частного репетитора. Имею свою методику.  ",True,False,Алматы,Педагогический ВУЗ города Талдыкорган,более 20 лет,Buki
Математика; Физика,7000,4.8,4,"Эксперт в области ЕНТ. Опыт работы - более 3-х лет. Свой бренд, YouTube канал и активный Instagram, где я делюсь результатами моих учеников.   ",True,True,Астана (Нур-Султан),МГТУ им. Н. Э. Баумана,более 3 лет,Buki
Математика; Черчение и проектирование; Подготовка к школе,6000,5.0,5,"Понимаю, как сложно современным родителям найти время для занятий с детьми, 
предлагаю свой опыт и знания направить на интересные онлайн уроки.
Первое общение позволит определить уровень ученика и подобрать нужную методику. 
Работаю на результат, отчётность перед родителями, Д/З. 
 Связь через Skype,  WhatsApp, Google meet, или ваше предложение. ",True,True,Астана (Нур-Султан),Уральский педагогический институт им. А.С.Пушкина,более 20 лет,Buki
Английский язык; Турецкий язык,8000,4.9,5,В совершенстве знаю английский и турецкий. Занимаюсь репетиторством и очень люблю помогать людям в изучении языков. ,True,False,Алматы,Kocaeli University,более 3 лет,Buki
Испанский язык,5000,5.0,1,"¡Hola! Меня зовут Диана, и теперь я твоя profe de español! Испанский это мое сердце и любовь! Хочешь влюблю и тебя? ",True,False,Актобе,"Казанский Федеральный университет, г. Казань, РФ",более 5 лет,Buki
Математика,5000,5.0,7,"Репетитор по математике, готовлю к ЕНТ, помогаю устранить пробелы с 5 по 11 классы. ",True,False,Алматы,Казахский государственный женский педагогический университет,более 20 лет,Buki
Английский язык,3000,4.8,5,"Ответственная, дружелюбная, требовательная. ",True,False,Алматы,Казахский национальный медицинский университет им.С.Д.Асфендиярова,менее 1 года,Buki
География,5000,5.0,9,"Людмила Константиновна Учитель Географии. Прошла все курсы по обновлёнке, созданию СОР и СОЧ. ",True,False,Астана (Нур-Султан),Казахский национальный педагогический университет имени Абая,более 20 лет,Buki
Химия,4000,5.0,1,"Окончила КазГУ. Доцент. Преподавала в вузах города Семей и города Астаны. Отличник образования МОН РК, «Лучший преподаватель вуза». Подготавливаю учеников 7–11 классов к ЕНТ, олимпиадам и поступлению в вузы Казахстана и зарубежных стран. Консультирую студентов по всем разделам химии и помогаю в подготовке научных проектов. ",False,False,Астана (Нур-Султан),Казахский национальный университет им.Аль-Фараби,более 20 лет,Buki
Английский язык; Информатика,3000,5.0,8,"Обучение будет проходить для учеников интересно, качественно. 
★Поднятие разговорного английского ★Словарный запас ★Грамматика ★Чтение ",True,False,Алматы,Университет имени Сулеймана Демиреля,более 2 лет,Buki
